23, asdlsa, gksd, 150, 20, 10/7/2024 10:11:19 PM, 10/7/2024 10:11:19 PM, 0
4, ksadas, dgkslg, 40, 1, 10/7/2024 10:14:51 PM, 10/7/2024 10:14:51 PM, 0
7, aosdjpas, ksdlfkñsd, 70, 2, 10/7/2024 10:17:15 PM, 10/7/2024 10:17:15 PM, 0
3, af, sdgsd, 200, 10, 10/7/2024 10:24:06 PM, 10/7/2024 10:24:06 PM, 0
4, sak, dsfds, 100, 4, 10/7/2024 10:29:20 PM, 10/7/2024 10:29:20 PM, 0
560,Lapiz,Son lapices.,54,2423,8/10/2024 02:51:29,8/10/2024 02:51:29,0
24,afk,dsñg,sd,200,10,10/8/2024 4:09:25 PM,10/8/2024 4:09:25 PM,0
23,asd,fgds,200,20,10/9/2024 8:39:14 PM,10/9/2024 8:39:14 PM,0
10,agua,agua transparente,100,20,10/9/2024 8:47:22 PM,10/9/2024 8:47:22 PM,0
60,botellas,botellas con tapon,200,10,10/10/2024 3:25:39 PM,10/10/2024 3:25:39 PM,0
23,asd,gsd,150,15,10/10/2024 5:21:01 PM,10/10/2024 5:21:01 PM,0
28,asdsad,safasfa,500,20,10/10/2024 5:29:04 PM,10/10/2024 5:29:04 PM,0
